CountryName,Year,GDP: Gross domestic product,GDP growth rate,GDP per capita,Economy: Agriculture,Economy: Industry,Economy: Services and other activity,Unemployment,Labour force participation rate,"Balance of payments, current account",CPI: Consumer Price Index
Afghanistan,2010,14 699,5.2,503.6,33.2,13,53.8,11.5,14.9 / 78.4,-578,100
Afghanistan,2015,18 713,-1.4,543.8,27.3,10.8,61.9,11.4,18.8 / 76.2,- 4 193,133
Afghanistan,2021,17 877b,4b,469.9b,"26.9d,b","12.8e,f,b","60.4g,b",11.2c,21.8 / 74.6c,- 3 137c,150b
Albania,2010,11 927,3.7,4 045.7,20.7,28.7,50.7,14.1,45.8 / 62.9,- 1 356,100
Albania,2015,11 387,2.2,3 939.4,22.5,24.8,52.7,17.1,46.1 / 63.8,-980,111
Albania,2021,15 278b,2.2b,5 303.2b,21.3b,23b,55.7b,12.8c,46.6 / 64.4c,- 1 318c,121c
Algeria,2010,161 207,3.6,4 480.8,8.6,51.4,40,10,14.4 / 70.0,12 220,100
Algeria,2015,165 979,3.7,4 177.9,12.1,37.3,50.6,11.2,15.2 / 67.4,- 27 038,127
Algeria,2021,171 158b,0.8b,3 975.5b,12.9b,39b,48.1b,11.5d,14.6 / 67.0d,- 17 148b,"155g,d"
American Samoa,2010,NA,NA,NA,NA,NA,NA,"9.2d,f",NA,NA,NA
American Samoa,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,2010,3 447,-2,40 812.4,0.5,14.5,85,NA,NA,NA,100
Andorra,2015,2 789,1.4,35 748.3,0.6,11.2,88.2,NA,NA,NA,103
Andorra,2021,3 154b,1.8b,40 887.4b,0.6b,11.8b,87.5b,NA,NA,568b,106d
Angola,2010,83 799,4.9,3 587.9,6.2,52.1,41.7,9.4,75.8 / 78.9,7 506,100
Angola,2015,116 194,0.9,4 167.0,9.1,42.1,48.8,7.3,76.1 / 79.1,- 10 273,159
Angola,2021,85 001b,-1.5b,2 670.9b,9.5b,44.5b,45.9b,6.8d,76.1 / 78.8d,894d,379b
Anguilla,2010,268,-4.6,19 923.5,2.1,16.1,81.9,NA,NA,-51,100f
Anguilla,2015,331,3.1,23 148.3,2.3,15.7,81.9,NA,NA,-89,105
Anguilla,2021,380b,5.4b,25 528.6b,2.9b,11.8b,85.3b,NA,NA,-136d,107b
